arxiv_id,title,authors,abstract,categories,published,updated,url,pdf_url
2605.06666v1,The Kubo-Thermalization Correspondence,Songtao Huang; Xingyu Li; Jianyi Chen; Alan Tsidilkovski; Gabriel G. T. Assumpção; Pengfei Zhang; Hui Zhai; Nir Navon,"Quantum thermalization describes how interacting quantum systems relax toward thermal equilibrium, a central problem in modern physics. Yet most experimental information on many-body systems comes from short-time transition spectroscopy, typically interpreted within Kubo's linear-response framework. These perspectives - long-time equilibration versus short-time response - seem fundamentally disconnected. Here we establish an exact link between them: the Kubo-Thermalization correspondence, which connects long-time thermalized magnetization under weak driving to short-time linear-response spectra for a spin coupled to a thermal bath. The correspondence holds even when the steady state differs substantially from the initial state and when each regime is individually difficult to describe theoretically. We experimentally confirm the correspondence using effective spin-1/2 impurities realized with ultracold fermions in two internal states coupled to a Fermi sea. Our results provide a rare exact statement about quantum thermalization and offer a novel route to infer thermalization dynamics from equilibrium response measurements in strongly interacting quantum systems, independent of microscopic details of the system-bath coupling.",cond-mat.quant-gas; cond-mat.stat-mech; physics.atom-ph; quant-ph,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06666v1,https://arxiv.org/pdf/2605.06666v1
2605.06661v1,Pro-Tensor Network,Gen Yue; Ansi Bai; Linqian Wu; Tian Lan,"We introduce the pro-tensor network, a categorification of the tensor network, as a fully rigorous yet graphically transparent framework for studying the collection of many many-body theories, which we dub many-many-body theory. We provide a comprehensive toolbox for the graphical calculations using pro-tensor networks. As applications, we recover the Levin-Wen model as a ""uniform"" pro-tensor network and generalize a result of Kitaev and Kong by characterizing particles as modules over promonads. One can also interpret the string-net pro-tensor network as the space of symmetric tensor networks, thus our framework also applies to the study of generalized symmetry and topological holography. Notably, our generalization dispenses with the assumptions of semisimplicity, finiteness, and rigidity, potentially facilitating the exploration of many-body physics beyond these constraints.",cond-mat.str-el; hep-th; math-ph; math.CT; math.QA,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06661v1,https://arxiv.org/pdf/2605.06661v1
2605.06653v1,From Baby Universes to Narain Moduli: Topological Boundary Averaging in SymTFTs,Xingyang Yu,"We propose a SymTFT interpretation of ensemble averaging in low-dimensional holography. The central operation is to keep fixed both the SymTFT and the physical boundary condition, while averaging over topological boundary conditions at the other end of the SymTFT slab. Each such boundary condition gives an absolute completion of the same relative theory, so the ensemble is interpreted as an average over topological completions rather than over arbitrary local dynamics. We formulate this construction in terms of cap functionals and their natural groupoid or Haar-type measures, and illustrate it in two examples. In the closed-string sector of the Marolf--Maxfield model, topological boundary conditions are labelled by finite sets, and the groupoid sum reproduces the Poisson/Bell-polynomial moments. In the Narain case, compact topological boundary conditions of an $\mathbb{R}$-valued BF SymTFT are identified with maximal isotropic subgroups, so that topological-boundary averaging becomes the usual Narain moduli average with Zamolodchikov measure. We also discuss possible extensions to JT gravity, random matrix theory, Virasoro T(Q)FT, and 3D gravity.",hep-th,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06653v1,https://arxiv.org/pdf/2605.06653v1
2605.06636v1,What You Don't Know Won't Hurt You: Self-Consistent Hierarchical Inference with Unknown Follow-up Selection Strategies,Reed Essick; Amanda M. Farah,"Many astronomical surveys prompt follow-up observations, but the decision process through which candidates are selected for follow-up can be difficult to model. This poses a challenge when inferring properties of the intrinsic population of astrophysical sources, rather than those of the set of objects detected by the survey and often-incomplete follow-up observations. We alleviate this problem by demonstrating that explicitly modeling of the follow-up selection process is not required for self-consistent inference of the intrinsic population. Using the framework of hierarchical Bayesian inference, we show that the intrinsic population can be accurately inferred even when the decision to follow up candidates strongly correlates with latent parameters of interest. We provide several worked examples, showing that the precision of posterior constraints can depend on the follow-up process and that one may have to model a population of contaminants if the initial selection is imperfect. Our result could dramatically simplify population inference that incorporates uncoordinated follow-up from multiple observers triggered by the deluge of candidates from surveys like LSST, Gaia, and next-generation gravitational-wave interferometers.",astro-ph.IM; gr-qc,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06636v1,https://arxiv.org/pdf/2605.06636v1
2605.06633v1,Machine Learning Approaches to Building Quantum Circuits for Sets of Matrices,Matvei Fedin; Andrei Morozov,Machine learning nowadays becomes a useful instrument in many subjects. In this paper we use interpretable machine learning to build quantum algorithm. By studying the parameters of the machine learning algorithm we were able to construct universal shortest analytic quantum algorithm for arbitrary diagonal matrix of any size.,quant-ph; hep-th,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06633v1,https://arxiv.org/pdf/2605.06633v1
2605.06626v1,Integrable perturbations of polynomial Hamiltonian systems,Dmitry Treschev,"We consider a Hamiltonian system on the symplectic space $({\mathbb{R}}^{2n}, dy\wedge dx)$ with a real-analytic Hamiltonian $H : {\mathbb{R}}^{2n}\to {\mathbb{R}}$. We assume that the system has a non-degenerate equilibrium position at the origin. Under some nonresonance assumptions we prove the following.   For any positive integer $M$ there exists a real-analytic function $F:{\mathbb{R}}^{2n}\to{\mathbb{R}}$ such that   (1) $F = O\big( (|x|+|y|)^{M+1} \big)$ at the origin,   (2) the system with Hamiltonian $H+F$ is completely integrable in ${\mathbb{R}}^{2n}$.",math.DS; math-ph,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06626v1,https://arxiv.org/pdf/2605.06626v1
2605.06613v1,The Phases of the Scalar S-Matrix Island,Joan Elias Miro; Andrea Guerrieri; Mehmet Asim Gumus,"The two-to-two four-dimensional scattering amplitude of identical scalars obeys rigorous two-sided non-perturbative bounds derived via the modern numerical S-matrix bootstrap. These bounds carve out an allowed region with a rich boundary structure, featuring edges and vertices. In this work we further tighten this region and uncover the physics of its boundary by analyzing the asymptotic Regge behavior of the amplitude and the spectrum of resonances and virtual states. We find that the S-matrices along a given edge exhibit universal behavior, sharply contrasting with that on other edges. This reveals a classification of the boundary into distinct phases, corresponding to different UV mechanisms by which a gapped scalar arises.",hep-th,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06613v1,https://arxiv.org/pdf/2605.06613v1
2605.06602v1,Quasi-homogeneous black hole geometrothermodynamics in Einstein-Maxwell theory,Hernando Quevedo,"In this review, we establish the mathematical framework of geometrothermodynamics (GTD) as a formalism capable of describing non-extensive, quasi-homogeneous, self-gravitating systems in a Legendre-invariant manner. We argue that the fundamental equations of black holes are quasi-homogeneous functions, a property that invalidates the standard Euler identity of laboratory thermodynamics. We derive the metrics for the equilibrium manifold and analyze their curvature singularities for the Reissner-Nordström, Kerr, and Kerr-Newman black holes. Furthermore, we establish a direct correspondence between the curvature singularities of the equilibrium space and phase transitions, as determined by the divergences of the corresponding heat capacities.",gr-qc,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06602v1,https://arxiv.org/pdf/2605.06602v1
2605.06579v1,Practical Log-Depth Quantum State Preparation and Circuit Verification via Tree Tensor Network Compilation,Angus Mingare; Peter V. Coveney,"Matrix product states provide efficient classical descriptions of quantum systems that may be useful as reference states for quantum algorithms such as quantum phase estimation and quantum-selected configuration interaction. Shallow circuit constructions for loading matrix product states onto quantum computers is necessary for this to be practical on near-term hardware. We present a decomposition of matrix product states to log-depth quantum circuits via a simple tree tensor network renormalisation procedure. Our method exposes an explicit parameter which can be used to trade a small amount of fidelity for large savings in circuit depth. We extend this decomposition to the case of matrix product operators allowing us to construct log-depth and ancilla-free circuits to calculate overlaps of the form $\left |\langleφ|U|ψ\rangle\right |^2$. In particular, we demonstrate an interpretation of these circuits as \emph{verifier circuits} with application to circuit-level device calibration.",quant-ph,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06579v1,https://arxiv.org/pdf/2605.06579v1
2605.06577v1,Entanglement generation in a two-body Schrödinger--Newton model,Marcin Płodzień; Julia Osęka-Lenart; Maciej Lewenstein; Michał Eckstein,"The Schrödinger--Newton (SN) equation provides a semiclassical framework for the evolution of self-gravitating of massive quantum systems. We propose a two-body Schrödinger--Newton model that separates local nonlinear self-localization from the nonseparable Newtonian pair potential. Analytically, we show that the nonlinear self-field preserves the Schmidt spectrum, whereas direct entanglement generation arises from the nonseparable pair potential. Using numerical simulations in a regularized one-dimensional geometry, we find that entanglement generation depends sensitively on the initial spatial configuration and on the mass ratio. Highly localized, self-bound wavepackets experience minimal entanglement growth during scattering. Spatial delocalization and kinetic dispersion broaden the interaction region, amplifying the entangling power of the pair potential and exciting higher-order spatial modes. For dispersive Gaussian initial states, mass asymmetry shatters the lighter particle, producing Wigner negativity and rapid entanglement growth, whereas stationary SN profiles strongly suppress this effect. Stationary SN profiles isolate the bare pair-potential contribution; dispersive Gaussian initial states inflate it.",quant-ph; gr-qc,2026-05-07,2026-05-07,http://arxiv.org/abs/2605.06577v1,https://arxiv.org/pdf/2605.06577v1
